Year	CFC11NH	CFC11SH	CFC12NH	CFC12SH	CFC113NH	CFC113SH	SF6NH	SF6SH
1765.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1766.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1767.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1768.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1769.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1770.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1771.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1772.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1773.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1774.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1775.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1776.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1777.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1778.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1779.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1780.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1781.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1782.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1783.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1784.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1785.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1786.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1787.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1788.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1789.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1790.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1791.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1792.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1793.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1794.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1795.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1796.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1797.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1798.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1799.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1800.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1801.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1802.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1803.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1804.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1805.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1806.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1807.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1808.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1809.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1810.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1811.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1812.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1813.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1814.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1815.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1816.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1817.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1818.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1819.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1820.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1821.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1822.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1823.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1824.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1825.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1826.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1827.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1828.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1829.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1830.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1831.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1832.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1833.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1834.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1835.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1836.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1837.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1838.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1839.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1840.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1841.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1842.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1843.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1844.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1845.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1846.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1847.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1848.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1849.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1850.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1851.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1852.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1853.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1854.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1855.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1856.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1857.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1858.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1859.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1860.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1861.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1862.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1863.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1864.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1865.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1866.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1867.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1868.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1869.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1870.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1871.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1872.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1873.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1874.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1875.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1876.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1877.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1878.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1879.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1880.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1881.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1882.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
